dataset_name,domain,model_name,main_record_path,record_count,field_count,enabled,reason
analytics_sales_funnel,analytics,stg_analytics_sales_funnel,data.products,1,100,True,auto_staging
analytics_stocks,analytics,stg_analytics_stocks,data.items,9,8,True,auto_staging
communications_chats,communications,stg_communications_chats,result,11,22,True,auto_staging
communications_feedbacks,communications,stg_communications_feedbacks,data.feedbacks,12,39,True,auto_staging
fbw_supplies,fbw,stg_fbw_supplies,$,18,10,True,auto_staging
finance_balance,finance,stg_finance_balance,$,1,3,True,auto_staging
finance_sales_reports,finance,stg_finance_sales_reports,$,6,46,True,auto_staging
finance_sales_reports_detailed,finance,stg_finance_sales_reports_detailed,$,6,109,True,auto_staging
general_seller_info,general,stg_general_seller_info,$,1,4,True,auto_staging
items_cards,items,stg_items_cards,cards,18,30,True,auto_staging
items_stocks,items,stg_items_stocks,stocks,14,14,True,auto_staging
items_warehouses,items,stg_items_warehouses,$,17,10,True,auto_staging
orders_dbs_completed,orders,stg_orders_dbs_completed,orders,15,39,False,covered_by_stg_orders_current
orders_dbs_new,orders,stg_orders_dbs_new,orders,8,39,False,covered_by_stg_orders_current
orders_dbs_statuses,orders,stg_orders_dbs_statuses,orders,13,11,True,auto_staging
orders_dbw_completed,orders,stg_orders_dbw_completed,orders,16,37,False,covered_by_stg_orders_current
orders_dbw_new,orders,stg_orders_dbw_new,orders,7,38,False,covered_by_stg_orders_current
orders_dbw_statuses,orders,stg_orders_dbw_statuses,orders,10,10,True,auto_staging
orders_fbs_archive,orders,stg_orders_fbs_archive,orders.metaDetails,0,0,False,covered_by_stg_orders_current
orders_fbs_current,orders,stg_orders_fbs_current,orders,15,40,False,covered_by_stg_orders_current
orders_fbs_new,orders,stg_orders_fbs_new,orders,15,44,False,covered_by_stg_orders_current
orders_fbs_statuses,orders,stg_orders_fbs_statuses,orders,11,11,True,auto_staging
orders_pickup_new,orders,stg_orders_pickup_new,orders,12,32,False,covered_by_stg_orders_current
orders_pickup_statuses,orders,stg_orders_pickup_statuses,orders,18,11,True,auto_staging
promotion_campaigns,promotion,stg_promotion_campaigns,adverts,13,20,True,auto_staging
promotion_fullstats,promotion,stg_promotion_fullstats,$[].days[].apps[].nms[],58,57,True,manual_nested_staging_root_days_apps_nms
report_orders,reports,stg_report_orders,$,11,48,True,auto_staging
report_sales,reports,stg_report_sales,$,15,49,True,auto_staging
tariffs_acceptance,tariffs,stg_tariffs_acceptance,$,14,13,True,auto_staging
tariffs_box,tariffs,stg_tariffs_box,response.data.warehouseList,3,11,True,auto_staging
tariffs_commission,tariffs,stg_tariffs_commission,report,17,10,True,auto_staging
