core_object,core_column,core_data_type,is_likely_technical,coverage_status,marts_output_locations,dbt_sql_usage_locations
core.order_items,client_id,text,no,present_as_output_column,marts.mart_business_daily.client_id; marts.mart_orders_daily.client_id; marts.mart_products_catalog.client_id; marts.mart_promotion_daily.client_id; marts.mart_sales_daily.client_id; marts.mart_stock_current.client_id,dbt/wb_dbt/models/marts/mart_stock_current.sql; dbt/wb_dbt/models/marts/mart_orders_daily.sql; dbt/wb_dbt/models/marts/mart_sales_daily.sql; dbt/wb_dbt/models/marts/mart_products_catalog.sql; dbt/wb_dbt/models/marts/mart_promotion_daily.sql; dbt/wb_dbt/models/marts/mart_business_daily.sql; dbt/wb_dbt/models/client_exports/client_core__order_items.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__tariffs_box_cleaned.sql; dbt/wb_dbt/models/client_exports/client_marts__mart_stock_current.sql; dbt/wb_dbt/models/client_exports/client_core__finance_balances.sql; dbt/wb_dbt/models/client_exports/client_core__fbw_supplies.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__items_stocks_cleaned.sql; dbt/wb_dbt/models/client_exports/client_core__products.sql; dbt/wb_dbt/models/client_exports/client_core__promotion_product_daily_stats.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__general_seller_info_cleaned.sql; dbt/wb_dbt/models/client_exports/client_core__tariff_acceptance_prices.sql; dbt/wb_dbt/models/client_exports/client_core__product_barcodes.sql; dbt/wb_dbt/models/client_exports/client_core__sellers.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__report_sales_cleaned.sql; dbt/wb_dbt/models/client_exports/client_core__report_order_events.sql; dbt/wb_dbt/models/client_exports/client_core__stock_analytics_metrics.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__promotion_campaigns_cleaned.sql; dbt/wb_dbt/models/client_exports/client_core__warehouses.sql; dbt/wb_dbt/models/client_exports/client_marts__mart_orders_daily.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__finance_sales_reports_cleaned.sql; dbt/wb_dbt/models/client_exports/client_core__finance_transactions.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__analytics_sales_funnel_cleaned.sql; dbt/wb_dbt/models/client_exports/client_core__product_variants.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__items_warehouses_cleaned.sql; dbt/wb_dbt/models/client_exports/client_core__stock_balances.sql; dbt/wb_dbt/models/client_exports/client_marts__mart_business_daily.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__communications_chats_cleaned.sql; dbt/wb_dbt/models/client_exports/client_marts__mart_sales_daily.sql; dbt/wb_dbt/models/client_exports/client_core__chats.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__orders_dbw_statuses_cleaned.sql; dbt/wb_dbt/models/client_exports/client_core__tariff_commissions.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__orders_cleaned.sql; dbt/wb_dbt/models/client_exports/client_marts__mart_products_catalog.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__fbw_supplies_cleaned.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__report_orders_cleaned.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__orders_dbs_statuses_cleaned.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__analytics_stocks_cleaned.sql; dbt/wb_dbt/models/client_exports/client_core__orders.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__tariffs_commission_cleaned.sql; dbt/wb_dbt/models/client_exports/client_core__finance_report_summaries.sql; dbt/wb_dbt/models/client_exports/client_core__report_sale_events.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__finance_balance_cleaned.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__tariffs_acceptance_cleaned.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__promotion_fullstats_cleaned.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__communications_feedbacks_cleaned.sql; dbt/wb_dbt/models/client_exports/client_core__tariff_box_prices.sql; dbt/wb_dbt/models/client_exports/client_core__promotion_campaigns.sql; dbt/wb_dbt/models/client_exports/client_marts__mart_promotion_daily.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__orders_pickup_statuses_cleaned.sql; dbt/wb_dbt/models/client_exports/client_core__sales_funnel_metrics.sql; dbt/wb_dbt/models/client_exports/client_core__order_status_snapshots.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__items_cards_cleaned.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__orders_fbs_statuses_cleaned.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__finance_sales_reports_detailed_cleaned.sql; dbt/wb_dbt/models/client_exports/client_core__feedbacks.sql
core.order_items,wb_account_id,text,no,present_as_output_column,marts.mart_business_daily.wb_account_id; marts.mart_orders_daily.wb_account_id; marts.mart_products_catalog.wb_account_id; marts.mart_promotion_daily.wb_account_id; marts.mart_sales_daily.wb_account_id; marts.mart_stock_current.wb_account_id,dbt/wb_dbt/models/marts/mart_stock_current.sql; dbt/wb_dbt/models/marts/mart_orders_daily.sql; dbt/wb_dbt/models/marts/mart_sales_daily.sql; dbt/wb_dbt/models/marts/mart_products_catalog.sql; dbt/wb_dbt/models/marts/mart_promotion_daily.sql; dbt/wb_dbt/models/marts/mart_business_daily.sql; dbt/wb_dbt/models/client_exports/client_core__order_items.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__tariffs_box_cleaned.sql; dbt/wb_dbt/models/client_exports/client_marts__mart_stock_current.sql; dbt/wb_dbt/models/client_exports/client_core__finance_balances.sql; dbt/wb_dbt/models/client_exports/client_core__fbw_supplies.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__items_stocks_cleaned.sql; dbt/wb_dbt/models/client_exports/client_core__products.sql; dbt/wb_dbt/models/client_exports/client_core__promotion_product_daily_stats.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__general_seller_info_cleaned.sql; dbt/wb_dbt/models/client_exports/client_core__tariff_acceptance_prices.sql; dbt/wb_dbt/models/client_exports/client_core__product_barcodes.sql; dbt/wb_dbt/models/client_exports/client_core__sellers.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__report_sales_cleaned.sql; dbt/wb_dbt/models/client_exports/client_core__report_order_events.sql; dbt/wb_dbt/models/client_exports/client_core__stock_analytics_metrics.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__promotion_campaigns_cleaned.sql; dbt/wb_dbt/models/client_exports/client_core__warehouses.sql; dbt/wb_dbt/models/client_exports/client_marts__mart_orders_daily.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__finance_sales_reports_cleaned.sql; dbt/wb_dbt/models/client_exports/client_core__finance_transactions.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__analytics_sales_funnel_cleaned.sql; dbt/wb_dbt/models/client_exports/client_core__product_variants.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__items_warehouses_cleaned.sql; dbt/wb_dbt/models/client_exports/client_core__stock_balances.sql; dbt/wb_dbt/models/client_exports/client_marts__mart_business_daily.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__communications_chats_cleaned.sql; dbt/wb_dbt/models/client_exports/client_marts__mart_sales_daily.sql; dbt/wb_dbt/models/client_exports/client_core__chats.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__orders_dbw_statuses_cleaned.sql; dbt/wb_dbt/models/client_exports/client_core__tariff_commissions.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__orders_cleaned.sql; dbt/wb_dbt/models/client_exports/client_marts__mart_products_catalog.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__fbw_supplies_cleaned.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__report_orders_cleaned.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__orders_dbs_statuses_cleaned.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__analytics_stocks_cleaned.sql; dbt/wb_dbt/models/client_exports/client_core__orders.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__tariffs_commission_cleaned.sql; dbt/wb_dbt/models/client_exports/client_core__finance_report_summaries.sql; dbt/wb_dbt/models/client_exports/client_core__report_sale_events.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__finance_balance_cleaned.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__tariffs_acceptance_cleaned.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__promotion_fullstats_cleaned.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__communications_feedbacks_cleaned.sql; dbt/wb_dbt/models/client_exports/client_core__tariff_box_prices.sql; dbt/wb_dbt/models/client_exports/client_core__promotion_campaigns.sql; dbt/wb_dbt/models/client_exports/client_marts__mart_promotion_daily.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__orders_pickup_statuses_cleaned.sql; dbt/wb_dbt/models/client_exports/client_core__sales_funnel_metrics.sql; dbt/wb_dbt/models/client_exports/client_core__order_status_snapshots.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__items_cards_cleaned.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__orders_fbs_statuses_cleaned.sql; dbt/wb_dbt/models/client_exports/client_staging_cleaned__finance_sales_reports_detailed_cleaned.sql; dbt/wb_dbt/models/client_exports/client_core__feedbacks.sql
core.order_items,order_item_key,text,no,used_in_mart_sql_but_not_output_column,,dbt/wb_dbt/models/marts/mart_orders_daily.sql
core.order_items,order_item_version_key,text,yes,not_found_by_name,,
core.order_items,order_item_natural_id,text,no,not_found_by_name,,
core.order_items,order_item_row_hash,text,yes,not_found_by_name,,
core.order_items,version_number,bigint,yes,not_found_by_name,,
core.order_items,valid_from,timestamp with time zone,yes,not_found_by_name,,
core.order_items,valid_to,timestamp with time zone,yes,not_found_by_name,,
core.order_items,is_current,boolean,yes,not_found_by_name,,
